Date,VTI,AGG,DBC,^VIX
2006-02-06,63.165001,100.209999,24.200001,13.04
2006-02-07,62.549999,100.139999,23.5,13.59
2006-02-08,63.0,100.089996,23.4,12.83
2006-02-09,62.880001,100.150002,23.620001,13.12
2006-02-10,63.009998,99.940002,23.190001,12.87
2006-02-13,62.724998,100.010002,22.83,13.35
2006-02-14,63.32,99.849998,22.639999,12.25
2006-02-15,63.560001,99.959999,22.309999,12.31
2006-02-16,64.055,99.860001,22.58,11.48
2006-02-17,63.98,100.269997,22.9,12.01
2006-02-21,63.799999,99.900002,23.280001,12.41
2006-02-22,64.300003,100.300003,22.9,11.88
2006-02-23,64.139999,100.239998,22.82,11.87
2006-02-24,64.239998,100.32,23.440001,11.46
2006-02-27,64.425003,100.110001,22.98,11.59
2006-02-28,63.790001,100.32,23.290001,12.34
2006-03-01,64.349998,99.949997,23.24,11.54
2006-03-02,64.305,99.699997,23.66,11.72
2006-03-03,64.199997,99.5,23.879999,11.96
2006-03-06,63.73,98.949997,23.5,12.74
2006-03-07,63.470001,99.199997,23.09,12.66
2006-03-08,63.650002,99.25,22.719999,12.32
2006-03-09,63.310001,99.120003,22.950001,12.68
2006-03-10,63.805,99.160004,22.85,11.85
2006-03-13,63.959999,99.339996,23.15,11.37
2006-03-14,64.620003,99.669998,23.49,10.74
2006-03-15,64.910004,99.400002,23.23,11.35
2006-03-16,65.050003,99.82,23.43,11.98
2006-03-17,65.099998,99.599998,23.32,12.12
2006-03-20,64.699997,99.559998,22.84,11.79
2006-03-21,64.339996,99.300003,22.92,11.62
2006-03-22,64.730003,99.480003,22.879999,11.21
2006-03-23,64.714996,99.400002,23.27,11.17
2006-03-24,64.800003,99.57,23.219999,11.19
2006-03-27,64.754997,99.650002,23.360001,11.46
2006-03-28,64.375,99.400002,23.66,11.58
2006-03-29,64.974998,99.199997,23.82,10.95
2006-03-30,64.800003,98.75,24.110001,11.57
2006-03-31,64.834999,99.080002,23.940001,11.39
2006-04-03,64.764999,98.599998,24.049999,11.57
2006-04-04,65.139999,98.730003,23.92,11.14
2006-04-05,65.379997,98.800003,24.07,11.13
2006-04-06,65.349998,98.720001,24.5,11.45
2006-04-07,64.650002,98.389999,24.389999,12.26
2006-04-10,64.735001,98.300003,24.84,12.19
2006-04-11,64.150002,98.5,24.940001,13.0
2006-04-12,64.279999,98.410004,24.889999,12.76
2006-04-13,64.264999,98.209999,25.049999,12.38
2006-04-17,64.165001,98.370003,25.32,12.58
2006-04-18,65.269997,98.300003,25.65,11.4
2006-04-19,65.464996,98.389999,25.9,11.32
2006-04-20,65.555,98.239998,25.6,11.64
2006-04-21,65.525002,98.230003,26.139999,11.59
2006-04-24,65.334999,98.599998,25.620001,11.75
2006-04-25,65.125,98.269997,25.700001,11.75
2006-04-26,65.139999,98.099998,25.6,11.76
2006-04-27,65.330002,98.330002,25.200001,11.84
2006-04-28,65.455002,98.550003,25.620001,11.59
2006-05-01,65.139999,97.790001,25.9,12.54
2006-05-02,65.525002,97.889999,26.200001,11.99
2006-05-03,65.334999,97.82,25.73,11.99
2006-05-04,65.639999,97.769997,25.42,11.86
2006-05-05,66.199997,97.949997,25.700001,11.62
2006-05-08,66.260002,98.019997,25.629999,12.0
2006-05-09,66.254997,97.970001,26.030001,11.99
2006-05-10,66.165001,97.860001,26.68,11.78
2006-05-11,65.309998,97.800003,26.940001,12.49
2006-05-12,64.434998,97.589996,26.85,14.19
2006-05-15,64.504997,97.650002,25.940001,13.57
2006-05-16,64.300003,98.129997,26.02,13.35
2006-05-17,63.125,97.849998,25.98,16.26
2006-05-18,62.830002,98.260002,25.99,16.99
2006-05-19,63.185001,98.239998,25.42,17.18
2006-05-22,62.810001,98.260002,25.620001,17.719999
2006-05-23,62.32,97.989998,26.02,18.26
2006-05-24,62.535,98.010002,25.360001,17.360001
2006-05-25,63.400002,98.0,25.799999,15.5
2006-05-26,63.759998,98.419998,26.049999,14.26
2006-05-30,62.605,98.199997,25.91,18.66
2006-05-31,63.345001,97.980003,25.52,16.440001
2006-06-01,64.150002,97.519997,25.209999,14.52
2006-06-02,64.275002,98.269997,25.709999,14.32
2006-06-05,63.195,97.949997,25.639999,16.65
2006-06-06,62.91,98.209999,25.42,17.34
2006-06-07,62.5,97.900002,25.25,17.799999
2006-06-08,62.439999,98.230003,24.98,18.35
2006-06-09,62.200001,98.370003,25.02,18.120001
2006-06-12,61.384998,98.07,24.719999,20.959999
2006-06-13,60.654999,98.349998,24.049999,23.809999
2006-06-14,61.040001,97.980003,24.040001,21.459999
2006-06-15,62.450001,97.82,24.299999,15.9
2006-06-16,62.125,97.760002,24.35,17.25
2006-06-19,61.5,97.5,23.9,17.83
2006-06-20,61.514999,97.559998,24.1,16.690001
2006-06-21,62.200001,97.589996,24.450001,15.52
2006-06-22,61.860001,97.169998,24.440001,15.88
2006-06-23,61.955002,97.220001,24.389999,15.89
2006-06-26,61.990002,96.940002,24.66,15.62
2006-06-27,61.400002,97.209999,24.75,16.4
2006-06-28,61.834999,97.110001,24.65,15.79
2006-06-29,63.185001,97.449997,25.190001,13.03
2006-06-30,63.154999,97.440002,25.299999,13.08
2006-07-03,63.639999,97.199997,25.969999,13.05
2006-07-05,63.119999,96.910004,25.77,14.15
2006-07-06,63.325001,97.0,25.940001,13.65
2006-07-07,62.799999,97.360001,25.75,13.97
2006-07-10,62.875,97.449997,25.57,14.02
2006-07-11,63.105,97.610001,26.129999,13.14
2006-07-12,62.43,97.669998,26.389999,14.49
2006-07-13,61.5,97.75,26.379999,17.790001
2006-07-14,61.139999,97.879997,26.5,18.049999
2006-07-17,61.035,97.669998,25.9,18.639999
2006-07-18,61.240002,97.599998,25.74,17.74
2006-07-19,62.25,97.980003,25.83,15.55
2006-07-20,61.615002,98.080002,25.559999,16.209999
2006-07-21,61.125,98.019997,25.49,17.4
2006-07-24,62.314999,98.169998,25.6,14.98
2006-07-25,62.525002,98.089996,25.379999,14.85
2006-07-26,62.695,98.150002,25.209999,14.62
2006-07-27,62.535,98.309998,25.700001,14.94
2006-07-28,63.084999,98.519997,25.610001,14.33
2006-07-31,63.080002,98.400002,25.860001,14.95
2006-08-01,62.755001,98.230003,25.98,15.05
2006-08-02,63.150002,98.269997,26.33,14.34
2006-08-03,63.290001,98.290001,26.08,14.46
2006-08-04,63.259998,98.599998,26.049999,14.34
2006-08-07,63.049999,98.610001,26.459999,15.23
2006-08-08,62.759998,98.610001,26.09,15.23
2006-08-09,62.439999,98.690002,26.129999,15.2
2006-08-10,62.68,98.639999,25.790001,14.46
2006-08-11,62.485001,98.470001,25.540001,14.3
2006-08-14,62.599998,98.360001,25.299999,14.26
2006-08-15,63.400002,98.599998,25.34,13.42
2006-08-16,64.019997,98.93,25.07,12.41
2006-08-17,64.165001,98.940002,24.68,12.24
2006-08-18,64.419998,99.010002,24.809999,11.64
2006-08-21,64.175003,99.25,25.01,12.22
2006-08-22,64.195,99.269997,24.969999,12.19
2006-08-23,63.884998,99.230003,24.709999,12.4
2006-08-24,63.880001,99.220001,25.07,12.4
2006-08-25,63.904999,99.32,25.059999,12.31
2006-08-28,64.275002,99.230003,24.67,12.18
2006-08-29,64.400002,99.269997,24.629999,12.28
2006-08-30,64.540001,99.419998,25.0,12.22
2006-08-31,64.529999,99.550003,25.0,12.31
2006-09-01,64.904999,99.169998,24.950001,11.96
2006-09-05,65.035004,99.050003,24.91,12.63
2006-09-06,64.339996,99.07,24.780001,13.74
2006-09-07,64.099998,99.040001,24.700001,13.88
2006-09-08,64.230003,99.169998,24.5,13.16
2006-09-11,64.25,99.099998,23.93,12.99
2006-09-12,64.980003,99.339996,23.549999,11.92
2006-09-13,65.324997,99.419998,23.49,11.18
2006-09-14,65.184998,99.279999,23.35,11.55
2006-09-15,65.339996,99.25,23.280001,11.76
2006-09-18,65.389999,99.230003,23.559999,11.78
2006-09-19,65.220001,99.459999,23.209999,11.98
2006-09-20,65.610001,99.57,23.07,11.39
2006-09-21,65.199997,100.0,23.469999,12.25
2006-09-22,65.035004,100.059998,23.200001,12.59
2006-09-25,65.324997,100.260002,23.25,12.12
2006-09-26,65.779999,100.25,23.35,11.53
2006-09-27,65.860001,100.209999,23.700001,11.58
2006-09-28,65.925003,100.239998,23.889999,11.72
2006-09-29,65.720001,100.160004,23.950001,11.98
2006-10-02,65.535004,99.839996,23.690001,12.57
2006-10-03,65.635002,99.82,23.299999,12.24
2006-10-04,66.330002,100.209999,23.469999,11.86
2006-10-05,66.650002,99.900002,23.6,11.98
2006-10-06,66.519997,99.529999,23.690001,11.56
2006-10-09,66.584999,99.739998,24.35,11.68
2006-10-10,66.735001,99.349998,23.700001,11.52
2006-10-11,66.614998,99.239998,23.379999,11.62
2006-10-12,67.279999,99.339996,23.639999,11.09
2006-10-13,67.514999,99.089996,24.15,10.75
2006-10-16,67.699997,99.25,24.360001,11.09
2006-10-17,67.434998,99.400002,24.379999,11.73
2006-10-18,67.529999,99.519997,23.99,11.34
2006-10-19,67.605003,99.470001,24.389999,10.9
2006-10-20,67.584999,99.440002,24.049999,10.63
2006-10-23,67.875,99.150002,24.1,11.08
2006-10-24,68.040001,99.260002,24.27,10.78
2006-10-25,68.264999,99.5,24.700001,10.66
2006-10-26,68.625,99.839996,24.530001,10.56
2006-10-27,68.099998,100.040001,24.6,10.8
2006-10-30,68.125,100.059998,24.34,11.2
2006-10-31,68.040001,100.43,24.190001,11.1
2006-11-01,67.489998,100.18,24.5,11.51
2006-11-02,67.449997,100.07,24.32,11.42
2006-11-03,67.440002,99.550003,24.620001,11.16
2006-11-06,68.190002,99.550003,25.049999,11.16
2006-11-07,68.425003,99.800003,24.99,11.09
2006-11-08,68.599998,100.07,24.959999,10.75
2006-11-09,68.224998,100.099998,25.290001,11.01
2006-11-10,68.379997,100.32,24.76,10.79
2006-11-13,68.535004,100.199997,24.58,10.86
2006-11-14,69.07,100.339996,24.65,10.5
2006-11-15,69.330002,100.150002,24.84,10.31
2006-11-16,69.480003,100.059998,24.219999,10.16
2006-11-17,69.445,100.32,24.52,10.05
2006-11-20,69.485001,100.389999,24.43,9.97
2006-11-21,69.665001,100.519997,24.66,9.9
2006-11-22,69.860001,100.660004,24.75,10.14
2006-11-24,69.654999,100.690002,25.09,10.73
2006-11-27,68.550003,100.639999,25.16,12.3
2006-11-28,68.809998,100.910004,25.23,11.62
2006-11-29,69.514999,100.760002,25.549999,10.83
2006-11-30,69.625,101.07,25.780001,10.91
2006-12-01,69.43,100.860001,25.77,11.66
2006-12-04,70.110001,100.959999,25.65,11.23
2006-12-05,70.364998,100.900002,25.73,11.27
2006-12-06,70.324997,100.82,25.389999,11.33
2006-12-07,70.010002,100.730003,25.299999,12.67
2006-12-08,70.129997,100.519997,25.1,12.07
2006-12-11,70.279999,100.5,25.139999,10.71
2006-12-12,70.169998,100.779999,25.1,10.65
2006-12-13,70.290001,100.470001,25.110001,10.18
2006-12-14,70.824997,100.330002,25.4,9.97
2006-12-15,70.845001,100.309998,25.52,10.05
